sample_id,category,label
img_0091c3f65178ce922a3e,category_03,0
img_03189bfdbe7f6f7d9196,category_02,0
img_03581d373757407a0da0,category_06,0
img_036730c826566bf0124f,category_02,0
img_03daea60de93eb864e08,category_01,0
img_049dfceb1bd433a78a8d,category_01,1
img_05b49f29162b5050f0a5,category_01,0
img_05c24e734c0402633b5c,category_03,0
img_062d406c9b1dde8a0bcc,category_06,0
img_063e3688af2cccedf999,category_03,0
img_07b56d11b57ec2379cf4,category_02,0
img_07c342585e609d6a8fa2,category_02,1
img_080ca52d89fad9328cf1,category_06,0
img_0895f5127ef75df72e4b,category_06,1
img_08967081a078644f5680,category_05,1
img_08ac185284d866378efc,category_06,0
img_08e0126831e117f4e7d4,category_06,0
img_092dfca81080ba3b6c48,category_01,0
img_09511b6183c64c5d22b6,category_02,1
img_09581d994794e688a3bc,category_03,1
img_0970754a6074807efa08,category_03,1
img_0a6394fccaa28d3c586d,category_05,1
img_0bb5565a173a1d327479,category_03,0
img_0c02281dde2ce0c79bfa,category_03,0
img_0c0237f83b21b7132022,category_02,1
img_0c2ac7bc41b2d949167d,category_04,0
img_0c503257c2fb40d774ec,category_05,0
img_0c53b9c55c7036b1d2ea,category_04,1
img_0ca071c81ebd8796034f,category_04,0
img_0ccdd9584bc1fa1fafbb,category_06,0
img_0d7c5fe8f718dbad76e2,category_06,1
img_0d7f5f28593d2cedabbe,category_03,0
img_0e17f7373e6915f2bb0c,category_04,1
img_0e852cc6f693441a9984,category_01,0
img_0ec01026033f396e897a,category_05,0
img_0f2891e0fc74e857d002,category_03,0
img_0ffcc8f0743c1506d738,category_06,0
img_117ca66ffc1b099f9961,category_02,1
img_12f8745dc305e26be9db,category_02,0
img_138daf4fb60e23599877,category_01,0
img_148f67d360b372ec5b78,category_01,0
img_1496d39262d7799a1351,category_05,0
img_14a8cd4db8eb5b3abd5d,category_05,1
img_14b90acdd55a3b3d8d0a,category_03,0
img_1610498f0004d78c437b,category_05,0
img_167b6771f70d69e70429,category_03,1
img_169d0f90f168a1209b09,category_02,0
img_16ad99b0b55f933eb3b2,category_06,1
img_16d6e2dd99181280d90f,category_02,0
img_171ec774f298d237b35d,category_06,0
img_18e0f5447e0b5099f3c0,category_03,1
img_192f8319b536f3d36693,category_03,0
img_194381ba4e8425b2fff9,category_06,0
img_199446accb69ae5256cd,category_06,0
img_1ba2317421999d521b18,category_01,0
img_1d6db92761706fc3138c,category_03,1
img_1e18188421bf6d1fd8a1,category_04,1
img_200343ec9b8161ed544d,category_06,1
img_2008539620649d146195,category_05,1
img_201da397de79fb50998c,category_01,1
img_21241ed70ce2beb8f242,category_06,0
img_240af35adb7dc2ef9766,category_04,1
img_24dd2c2dd87e241df79e,category_05,0
img_250eb48e77b6607e4dbd,category_01,1
img_26a275a8e2de3ddc2989,category_05,1
img_26ae7ef21fa8e3a16048,category_06,1
img_270767d9752093994df9,category_04,1
img_27a8e99b9f4914ad794b,category_01,0
img_27ab1efd17d4be246180,category_06,1
img_27c09cf9af09e5efe661,category_03,0
img_280ea2f596a1647cd80e,category_04,1
img_2812c0e603472e2c83e3,category_02,1
img_2850a03d3169067ea2c6,category_05,0
img_28617d38d3aaf2d5063c,category_06,1
img_28a722863f4fcecbb5f7,category_06,1
img_28d2f15fde3876590ff2,category_06,1
img_292cb3aa1f67aa23b17b,category_03,1
img_299738dd206a8f0c1ecb,category_06,1
img_29e97ecec1ecc5b2218e,category_02,0
img_2a334cb7f8868e5bfedd,category_04,1
img_2b18f796eeff138299f3,category_01,1
img_2ba36d1160bc41c066d3,category_04,0
img_2bd844719720a33bfc85,category_01,1
img_2d1ad1e21368a6d5f1b6,category_06,1
img_2db58618bc67f63dcf8c,category_02,0
img_2dc5dad02e0f6b75364b,category_05,1
img_2e972594e9e27da1408e,category_01,1
img_2f72db466c82c366f648,category_02,0
img_2fbf2156b931810cecb2,category_03,1
img_305a4c95bf8ecdb72472,category_02,0
img_3065a0d13c3e87595ef1,category_05,1
img_315dbad76a2a3515462e,category_01,1
img_321b2ada3e13e78b0733,category_03,0
img_32c6aa58e95e87c343cc,category_03,0
img_3316f886ef659ade5b5b,category_01,1
img_339a8ba5233cf45ab365,category_04,1
img_33d29c2898eb763b921d,category_05,0
img_33f6a4382a9760e31e83,category_02,0
img_362009b3c4d64d5e96e8,category_01,1
img_36a8026212f963b60dff,category_04,0
img_372af04b4dde3331f95d,category_01,0
img_372d222a707f97a3b6c1,category_02,0
img_37d43f01d4e4cc708442,category_03,1
img_383d29ae3e6bbbca660b,category_05,1
img_3876a96d5eb1168e7169,category_02,1
img_38e212d1a5917906258a,category_01,0
img_38ebe371dddf4fb8e9c4,category_05,0
img_3959fc8e09fbaef9d26a,category_03,0
img_3a0966da08ddfe291946,category_02,0
img_3a106de06073da363247,category_04,1
img_3ad138a96b589b74d9fc,category_05,0
img_3b8da7f7cb4b2a8833cb,category_02,1
img_3bd5b397bd94b66a3c53,category_01,0
img_3c4c29ff4949d9eb37f3,category_03,0
img_3c7074455157dad63a3e,category_05,0
img_3ca3e9137c8653452f8f,category_05,0
img_3d3fbe238b1ce2f745f0,category_03,0
img_3e18647620349cf1ead5,category_04,0
img_3e724bdc0148fa050434,category_06,1
img_3ea19e26db50d681cb99,category_01,0
img_3eb7441735019444310c,category_06,1
img_3fff470b5bf940195fb9,category_05,0
img_41047c2689455ae69752,category_03,1
img_41596c5bbb784a141ef7,category_05,1
img_415f5a0e8e394f81a935,category_02,1
img_4163ab5a744442f312f2,category_06,0
img_427e2eb8107dd6a0996d,category_01,0
img_42c17096786d0890f262,category_03,0
img_42fdfff23980158d3f5f,category_03,1
img_43a3b92b309745de94a3,category_02,1
img_449d55b94b5d38a08482,category_05,1
img_45c8a0ddc54814278214,category_06,0
img_45d5ac91ae4b00b021c9,category_03,0
img_45e25ebf990eb03e16e3,category_06,1
img_465b13a96411adde25b3,category_04,0
img_466ebd17126c274270be,category_01,1
img_467325bef04a156c771b,category_04,0
img_46c357f0e13943637486,category_06,0
img_477e22c8e4cee926310e,category_05,0
img_48803e4e13120451e07b,category_01,0
img_4890dec9abd211247385,category_03,1
img_48917605fff2125fcb71,category_01,0
img_4962fdc220864935de0f,category_01,0
img_498db41a93e6043a7e70,category_02,1
img_4a25cd9dd6ce90ee0224,category_02,1
img_4b3828b21be78c6f3f69,category_02,0
img_4b6fc08d6ab98326dd93,category_01,1
img_4bae966aae75cc12b1ff,category_04,0
img_4c52047ed179d255240b,category_04,1
img_4c56031b0e8e373f7350,category_06,1
img_4c6e209b30f86dd4d5f2,category_04,0
img_4d912ec5e370286800fe,category_03,0
img_4dfaf5c50281db6e8353,category_02,0
img_4e2ee59856d4ad88abe2,category_03,1
img_4e3d06730602f67182b1,category_06,0
img_4e7b10e6cef32ed4e53d,category_04,0
img_4f1d267c9288d5fbaeee,category_01,1
