sample_id,category,label
img_0048c320e0c9cdb269e2,category_06,0
img_01035ec26ad43e84bd4d,category_02,1
img_01db809513fbce389881,category_04,1
img_021883a06683dd483cda,category_04,0
img_0226e8549e31074fedb4,category_06,0
img_0277339f02dea5892eb9,category_02,0
img_03987692a23ecc2341a3,category_06,1
img_03ddba0b66e7d3d5613d,category_04,1
img_03e7c3e637283c3a7d88,category_06,1
img_045c5f482c79e05123c1,category_06,0
img_04f515a623a82392b680,category_02,0
img_056fff43c50f5479a0fb,category_06,1
img_05d1496967b8bf451eb2,category_04,1
img_0723e46a36452957bce6,category_06,1
img_0786b16c10631196fa3c,category_04,0
img_079206dc54d34c0b7563,category_02,0
img_07a2799c71af6aa3ea7c,category_04,0
img_080f625cdcb14ad5d401,category_04,1
img_08ebf9768469637ad46f,category_02,1
img_0a06fdc789bbdffd94fa,category_06,1
img_0a1daf20331f38094217,category_02,0
img_0be0f49d89dfc42a1742,category_04,1
img_0dce1db4965e4a071036,category_04,1
img_0eab807f1d65fe8d50bc,category_04,0
img_0ede022af6f767c4e001,category_04,1
img_0f44ac1874547102c556,category_02,1
img_1018153fdf23dbeccb30,category_06,0
img_106dbedb4e46f11a1a72,category_02,1
img_10d4b83fa89e88c23d61,category_04,1
img_10ebf2c75231ff063475,category_06,0
img_11b3ad34044c56954c40,category_02,1
img_11d9450a7d6576767834,category_02,0
img_1217908b523c96a7d0ff,category_02,1
img_124a4e0ea9c078e058b9,category_04,0
img_125346cb0c1e3619e805,category_02,0
img_1386044d44b5c7f134c5,category_06,0
img_1432cecb48a0bb5d02a1,category_06,0
img_14a47199bb19bfde5e38,category_02,0
img_154477dbb304bfd7deb6,category_06,0
img_16384744da88b81d8a9f,category_02,0
img_16f536b21585c267dd18,category_02,0
img_1772c80a30f59b1e0943,category_02,0
img_17a10bb07f0babfadeb8,category_06,1
img_191c44b2564037b097e9,category_04,1
img_19517b100238eddc241d,category_04,0
img_1960116419bb5a1b6ec0,category_04,0
img_1af259154e8dc46fd42a,category_06,1
img_1b4cf847c1882ab146bf,category_02,1
img_1bcac4d3e21a60c85576,category_02,0
img_1c052b23a61cb85da774,category_02,0
img_1c14e1a0aae1d5e3eb71,category_02,0
img_1c198a57079e6e88322e,category_04,1
img_1cb39fc596b113a2520b,category_02,1
img_1cbd92dfc902bdd08e23,category_04,1
img_1ce5757153215d6c4ccf,category_02,0
img_1d7bf57fcc1b27d554be,category_04,0
img_1d9b4813183eb45fc559,category_06,0
img_1eebb167c677cd26a1a6,category_02,1
img_1f0598e57eb58bb8fb73,category_04,1
img_1f1e1df7c8b8ded67fd6,category_06,0
img_1f528102c2c975289059,category_04,1
img_204e95cf1ddc7bc4f9db,category_06,1
img_20b7df0d6b4ee6bda07b,category_02,0
img_214139d6bc92b087e9f3,category_02,0
img_21f8eddaf13efa51e00b,category_02,0
img_22b00ef8d5fb07f2fe59,category_04,0
img_22bd82088eba5bde6d92,category_02,0
img_22f60c4bc636575a8f43,category_06,0
img_23d9ccc17a3001333a2e,category_02,0
img_249925eb64e068e08e96,category_06,0
img_24cdbdb90aa4fbec80e7,category_04,1
img_25875da4d859fc61a5ef,category_06,1
img_261735a82ff28df5595e,category_02,0
img_2641836684adb41d0249,category_06,0
img_266808cbe38e2f5c3d93,category_06,1
img_2706de4c556d2e009161,category_02,1
img_2796ce65e0f831a7e2e1,category_04,1
img_27b5fb1be284bced11e6,category_06,0
img_282ad94242b1f840fde8,category_04,0
img_28f9b867410404f0b068,category_02,0
img_29079d627d09f1efad98,category_06,0
img_2963f8604d11a5571be0,category_06,0
img_299adef3add45973cb9b,category_06,1
img_29ab6d30cb6cf35409df,category_06,0
img_29b83ef5039eec6d1e83,category_06,1
img_29e00b45725491a387e1,category_02,0
img_2b3a31e9856ae01931c8,category_04,1
img_2bf94aac9f0832ca9321,category_04,0
img_2c02a89e9596a2d311ee,category_04,0
img_2d6f6ed04167311d1b29,category_02,0
img_2d9ad7cc67153dd5bcc9,category_04,0
img_2e9018179dc68e18dd40,category_04,1
img_307b91b1ea4efa07aade,category_02,0
img_30d76f8b7db6df493057,category_06,0
img_323d76720dbdc963223f,category_02,0
img_32951c825f90b98eb7e0,category_06,1
img_32a277d3d6e0f48d2c17,category_02,1
img_32c307294f9d58d63dea,category_02,0
img_32ec6f42f7a2e39d5fb7,category_02,0
img_33141f74610641e7fa4a,category_04,0
img_332e0ca73b472c4539c9,category_06,0
img_337af34daad5fdcfefea,category_04,1
img_34e07b4d21023159fefb,category_06,0
img_34e1a01e053535068416,category_04,1
img_35f82490fb145b2605a9,category_04,0
img_3660adea7e9d634014ca,category_06,0
img_37263c82fe61f44b979f,category_04,1
img_38da21d27cb661405eb1,category_02,0
img_39cd71c55cb2ffa7627e,category_02,1
img_39e0e9126a5d736f5a7e,category_02,1
img_3a0d19f98b7741c6b280,category_02,0
img_3a432a18f99675c18cb0,category_06,1
img_3a5722d4ec0bb8315a80,category_06,0
img_3af9b716d911d784ca9f,category_06,1
img_3b5cb0d718ea851b1916,category_04,0
img_3ba596c20b16aa971ef5,category_02,1
img_3c86df5917e036bd012e,category_04,0
img_3d2ca8a732fca08e12ec,category_06,1
img_3eb6478069ce45fe214d,category_02,1
img_3f5dec0a6fd93881855a,category_02,1
img_4238bd4a19812f36fc1e,category_04,0
img_4259a1057b03d14965f5,category_02,1
img_42a3e275dd1f4549cc5b,category_06,1
img_42bfe9d2251853c2fb78,category_06,0
img_4313cb1377391739b32b,category_06,1
img_43679aded1b0d25cab34,category_02,1
img_4424295ad7b84fad50ed,category_04,1
img_4441607b16ba027b4b49,category_04,0
img_44bbd714357bb4bfd83c,category_06,1
img_464cb810d1ed5c992743,category_02,0
img_478ee95532590a30080b,category_04,1
img_47ea54c21621b2674fab,category_06,0
img_482be0e4f2c69274a3a3,category_06,0
img_49195ab91ab4882d58e9,category_02,1
img_493cedb812de4a324f61,category_04,1
img_49f2f2135b93f5b28a0b,category_06,1
img_4a2450451e400e700da8,category_06,0
img_4b7b1a647f524d9eefa4,category_06,0
img_4ba6400f6a2fdc06144c,category_06,1
img_4bddcf19ec024ff6c851,category_06,1
img_4bfdc086849410c14369,category_06,1
img_4bfe29eb8c55fe702449,category_06,0
img_4c74fbef3329ab96b6ae,category_04,0
img_4d0815147d2db0321320,category_06,0
img_4d6dc4ef3031894a4aef,category_02,0
img_4e12c26e772ba7561d10,category_04,1
img_4e33e3c69f9cb04a5b4f,category_06,0
img_4f5f8e86b8f944548a2c,category_04,0
img_4f66095825728ba9ce27,category_04,0
img_4f71e6fc4472cf344cbe,category_04,1
img_4facd23991c8b15b8b76,category_06,1
img_50291dd317b102bed68f,category_04,1
img_504df6a4475e03cccc01,category_06,1
img_50691a99ee3061445291,category_04,1
img_520d7438762d79d14894,category_04,1
img_52d5d61ce9b9e3572218,category_02,1
img_53441b27d256be0f125e,category_02,0
img_54878bdf46a58ff8ade5,category_06,0
img_54b501c15eb053048bbf,category_04,0
img_5523ab4618cf95936f67,category_04,0
img_55a1286b3ffe3d1e117b,category_04,1
img_56b27b16625f588dbd7e,category_06,1
img_578aaff78be92cd66426,category_04,1
img_5863528626b9e4fcd10b,category_04,0
img_5874201a491312c919f1,category_04,0
img_59940a18862d65907e1a,category_04,0
img_5a8fb38c78b60b1afb85,category_06,1
img_5bace1e5d3ea9706bff0,category_04,0
img_5c4a5d7a7b9c0bad3b5e,category_06,0
img_5c72d49fabecd0217f15,category_02,1
img_5d14268908f24aa86b8a,category_06,0
img_5d41e9e3f85e6a83ab53,category_02,1
img_5d9c24cd84b61c030607,category_02,1
img_5dbbd6440a090ee35599,category_02,0
img_5ebe4ddc4624223df64f,category_04,1
img_5f2fff32d1a6502b2444,category_04,1
img_5f7c1539e296026a5d23,category_02,1
img_605056a8d634fcbc7a64,category_02,0
img_60d22e4c40d131020eba,category_02,1
img_61d07ad027caff62e10c,category_02,0
img_61dce33b37bafd3ad73b,category_06,0
img_6233eec65612e3e54202,category_02,0
img_63aa30f6914384c370a4,category_02,1
img_63ff6cc0550a67a23f84,category_04,0
img_641c528ff10c05d104f2,category_02,1
img_647202bfa26b030fe9fd,category_04,0
img_65537a748231dbbc466d,category_06,0
img_6569a2d7c8e9abfdcec2,category_02,0
img_663c2192411cc80f89da,category_02,1
img_66ed1e4caf77b4e1d3bd,category_04,1
img_673f3b11c273665fdd57,category_06,1
img_678344f57641a111908a,category_02,0
img_687a4be4753233ff8782,category_04,0
img_69ccf49fbaac7fb81a33,category_04,0
img_6ad4476bbcab40870e22,category_06,0
img_6bbd40723e023a73bf0b,category_06,0
img_6c27ebde0a734ac1d0ae,category_06,0
img_6e7401b7a0b2c97b0375,category_02,1
img_6ed3fa963ad6237402fa,category_04,1
img_6ef8185e3e0230d1f68e,category_02,0
img_6f2d3386d8c863a41c3e,category_02,0
img_6f5fbe915435a9ce5987,category_02,0
img_6facd333f2242a282eb7,category_04,1
img_6fd81f41cd05a854fc08,category_02,0
img_7015f3b94e8db14228ca,category_04,1
img_706d40ce96c63bc0d377,category_04,1
img_7146e158897e6f14fc15,category_04,1
img_714807b874fda1cf6708,category_06,0
img_71d2552d434cf1cd4266,category_06,0
img_74161de291bef3886523,category_06,0
img_7456c88067fef24de600,category_04,1
img_74fc4edaf553d0216554,category_04,1
img_757b923a9a1d44b5b49c,category_02,0
img_75acf2c1d96e98e5dcd8,category_06,1
img_75e3b8e813ac97ca164f,category_06,0
img_75f03636099fdb7415d2,category_04,0
img_770477d347f519ece88f,category_04,0
img_7735a33c1890be320054,category_02,0
img_77a65f4c727d00234c2c,category_02,1
img_7841a7742909a8d6bd17,category_06,0
img_79bb81c735f946f6ace1,category_06,0
img_79c7b0917ef2941ef08a,category_02,1
img_7a1f6b2c7f98518ef925,category_02,0
img_7a33b9d20769cb552fc9,category_02,1
img_7a4829a715c154613897,category_06,0
img_7b5be4907e1d09fc8548,category_06,1
img_7bd2f815a7841d526cf1,category_04,0
img_7e653b8a6d03daa9e97c,category_06,0
img_7f828d02b1a1228e0b3d,category_02,0
img_800c929513abefae3568,category_04,0
img_80c95e6f3657c68c3647,category_04,1
img_80fbf72a8a1f27019934,category_02,1
img_811a954902ba13c6ae76,category_04,1
img_811bf545c78956a8145c,category_04,0
img_8195efa094bd4bc87d95,category_04,1
img_822f56cc1667add1bd21,category_02,1
img_823278ee60ef009b14b2,category_06,1
img_82739f1387ba20f68ef9,category_02,0
img_82cef2d96fd2eb26f11e,category_02,0
img_834da3947cb3935e0011,category_06,1
img_83b029f55fc2555b8889,category_06,0
img_83d3e89e03b651f14fd7,category_02,0
img_83e44327e7922092c864,category_04,1
img_83ff86a04f8edd57da44,category_06,0
img_842f1ab66642079aaa37,category_06,0
img_84ff6b0854d65d532002,category_04,1
img_85b618a7668cb3ad8961,category_06,0
img_85e11a4ff6c07543cd28,category_02,1
img_87ba25615754b21a52ef,category_02,1
img_884eda990dbc703d0e56,category_02,0
img_88c7af13efad9e540438,category_04,0
img_88ce23543b9f65bf3ac9,category_02,1
img_88cff210be01f9032114,category_04,0
img_89a19f99e783fb405792,category_02,1
img_8a6bd16ef13bb28a6e35,category_02,0
img_8b03fef68c7e2e716ff0,category_04,1
img_8b0a927f386c967e06b5,category_06,1
img_8b75b63f86137ff6de61,category_04,0
img_8bc58f1507ea75869a59,category_02,0
img_8ca693f255d834f4e50c,category_02,1
img_8cd7d3ad596b229636e7,category_04,0
img_8d1a6605c9b1cbf1950e,category_06,0
img_8d8ea8e1aebe559e5138,category_04,0
img_8dd40ac987d5db86e6c1,category_04,0
img_8dd75f4da0dc32301d44,category_06,0
img_8f147c0355600e166144,category_04,0
img_92be62e1d1aa715fa89b,category_02,0
